a24,road_side_code_nm
a22,tpgrph_frm_code
a20,tpgrph_hg_code_nm
a14,prpos_area_1_nm
a13,prpos_area_1
a12,lndpcl_ar
a11,lndcgr_code_nm
a10,lndcgr_code
a9,stdr_mt
a8,stdr_year
a7,lnm_lndcgr_smbol
a6,ji_bun
a5,regstr_se_nm
a4,regstr_se_code
a3,ld_cpsgemd_nm
a2,ld_cpsgemd_code
a1,pnu
Featureroad_side_code_nm,Feature_road_side_code_nm
Featuretpgrph_frm_code,Feature_tpgrph_frm_code
Featuretpgrph_hg_code_nm,Feature_tpgrph_hg_code_nm
Featureprpos_area_1_nm,Feature_prpos_area_1_nm
Featurelndpcl_ar,Feature_lndpcl_ar
Featurelndcgr_code_nm,Feature_lndcgr_code_nm
Featurepnu,Feature_pnu
Featureslope,Feature_slope
Featurejibun,Feature_jibun
Featureheight,Feature_height
selectedpnu,selected_pnu
insertedtpgrph_hg_code_nm,inserted_tpgrph_hg_code_nm
selectedpnu,selected_pnu
insertedtpgrph_hg_code_nm,inserted_tpgrph_hg_code_nm
